CMDLINE 'C:\Program Files\Python312\python.exe' .\scraper_multiprocess.py
MEM 2.218750 1732556899.3844
MEM 29.687500 1732556899.4910
MEM 32.894531 1732556899.5968
MEM 33.347656 1732556899.7025
MEM 34.359375 1732556899.8084
CHLD 14756 18.148438 1732556899.8174
CHLD 1236 18.273438 1732556899.8174
CHLD 14796 18.218750 1732556899.8174
CHLD 7884 17.937500 1732556899.8174
CHLD 14812 17.847656 1732556899.8174
CHLD 10976 17.500000 1732556899.8174
CHLD 6632 17.355469 1732556899.8174
CHLD 2396 16.785156 1732556899.8174
CHLD 14856 16.750000 1732556899.8174
CHLD 14844 16.574219 1732556899.8174
CHLD 5852 15.449219 1732556899.8174
CHLD 12064 15.355469 1732556899.8174
CHLD 2552 15.128906 1732556899.8174
CHLD 8880 15.050781 1732556899.8174
CHLD 11744 14.691406 1732556899.8174
CHLD 14508 12.816406 1732556899.8174
CHLD 2648 12.863281 1732556899.8174
CHLD 2656 12.472656 1732556899.8174
CHLD 9004 6.210938 1732556899.8174
CHLD 1968 5.031250 1732556899.8174
MEM 34.523438 1732556899.9244
CHLD 14756 26.761719 1732556899.9279
CHLD 1236 26.765625 1732556899.9279
CHLD 14796 26.406250 1732556899.9279
CHLD 7884 26.210938 1732556899.9279
CHLD 14812 26.195312 1732556899.9279
CHLD 10976 26.023438 1732556899.9279
CHLD 6632 26.089844 1732556899.9279
CHLD 2396 25.824219 1732556899.9279
CHLD 14856 25.925781 1732556899.9279
CHLD 14844 25.242188 1732556899.9279
CHLD 5852 24.167969 1732556899.9279
CHLD 12064 23.894531 1732556899.9279
CHLD 2552 24.343750 1732556899.9279
CHLD 8880 23.449219 1732556899.9279
CHLD 11744 21.765625 1732556899.9279
CHLD 14508 21.835938 1732556899.9279
CHLD 2648 20.960938 1732556899.9279
CHLD 2656 21.031250 1732556899.9279
CHLD 9004 21.128906 1732556899.9279
CHLD 1968 21.140625 1732556899.9279
MEM 34.523438 1732556900.0414
CHLD 14756 32.859375 1732556900.0506
CHLD 1236 32.843750 1732556900.0506
CHLD 14796 32.851562 1732556900.0506
CHLD 7884 32.781250 1732556900.0506
CHLD 14812 32.773438 1732556900.0506
CHLD 10976 31.609375 1732556900.0506
CHLD 6632 31.687500 1732556900.0506
CHLD 2396 31.480469 1732556900.0506
CHLD 14856 31.312500 1732556900.0506
CHLD 14844 31.289062 1732556900.0506
CHLD 5852 30.496094 1732556900.0506
CHLD 12064 30.234375 1732556900.0506
CHLD 2552 30.800781 1732556900.0506
CHLD 8880 30.554688 1732556900.0506
CHLD 11744 29.835938 1732556900.0506
CHLD 14508 29.113281 1732556900.0506
CHLD 2648 28.765625 1732556900.0506
CHLD 2656 28.929688 1732556900.0506
CHLD 9004 28.746094 1732556900.0506
CHLD 1968 28.894531 1732556900.0506
MEM 34.523438 1732556900.1689
CHLD 14756 33.160156 1732556900.1689
CHLD 1236 33.093750 1732556900.1689
CHLD 14796 33.113281 1732556900.1689
CHLD 7884 33.042969 1732556900.1689
CHLD 14812 33.039062 1732556900.1689
CHLD 10976 32.828125 1732556900.1689
CHLD 6632 33.035156 1732556900.1689
CHLD 2396 32.867188 1732556900.1689
CHLD 14856 32.777344 1732556900.1689
CHLD 14844 32.980469 1732556900.1689
CHLD 5852 32.687500 1732556900.1689
CHLD 12064 32.746094 1732556900.1689
CHLD 2552 32.933594 1732556900.1689
CHLD 8880 32.765625 1732556900.1689
CHLD 11744 32.742188 1732556900.1689
CHLD 14508 32.757812 1732556900.1689
CHLD 2648 32.953125 1732556900.1689
CHLD 2656 32.832031 1732556900.1689
CHLD 9004 32.929688 1732556900.1689
CHLD 1968 33.082031 1732556900.1689
MEM 34.523438 1732556900.2777
CHLD 14756 33.214844 1732556900.2777
CHLD 1236 33.183594 1732556900.2777
CHLD 14796 33.199219 1732556900.2777
CHLD 7884 33.085938 1732556900.2777
CHLD 14812 33.093750 1732556900.2777
CHLD 10976 33.054688 1732556900.2777
CHLD 6632 33.257812 1732556900.2777
CHLD 2396 33.132812 1732556900.2777
CHLD 14856 33.023438 1732556900.2777
CHLD 14844 33.203125 1732556900.2777
CHLD 5852 32.960938 1732556900.2777
CHLD 12064 32.972656 1732556900.2777
CHLD 2552 33.152344 1732556900.2777
CHLD 8880 32.964844 1732556900.2777
CHLD 11744 32.957031 1732556900.2777
CHLD 14508 32.992188 1732556900.2777
CHLD 2648 33.152344 1732556900.2777
CHLD 2656 33.070312 1732556900.2777
CHLD 9004 33.152344 1732556900.2777
CHLD 1968 33.308594 1732556900.2777
MEM 34.523438 1732556900.3875
CHLD 14756 33.281250 1732556900.3917
CHLD 1236 33.289062 1732556900.3917
CHLD 14796 33.269531 1732556900.3917
CHLD 7884 33.187500 1732556900.3917
CHLD 14812 33.214844 1732556900.3917
CHLD 10976 33.136719 1732556900.3917
CHLD 6632 33.347656 1732556900.3917
CHLD 2396 33.210938 1732556900.3917
CHLD 14856 33.089844 1732556900.3917
CHLD 14844 33.312500 1732556900.3917
CHLD 5852 33.050781 1732556900.3917
CHLD 12064 33.054688 1732556900.3917
CHLD 2552 33.277344 1732556900.3917
CHLD 8880 33.050781 1732556900.3917
CHLD 11744 33.000000 1732556900.3917
CHLD 14508 33.117188 1732556900.3917
CHLD 2648 33.226562 1732556900.3917
CHLD 2656 33.148438 1732556900.3917
CHLD 9004 33.281250 1732556900.3917
CHLD 1968 33.382812 1732556900.3917
MEM 34.523438 1732556900.4978
CHLD 14756 33.398438 1732556900.5175
CHLD 1236 33.339844 1732556900.5175
CHLD 14796 33.371094 1732556900.5175
CHLD 7884 33.308594 1732556900.5175
CHLD 14812 33.277344 1732556900.5175
CHLD 10976 33.183594 1732556900.5175
CHLD 6632 33.429688 1732556900.5175
CHLD 2396 33.269531 1732556900.5175
CHLD 14856 33.199219 1732556900.5175
CHLD 14844 33.351562 1732556900.5175
CHLD 5852 33.140625 1732556900.5175
CHLD 12064 33.148438 1732556900.5175
CHLD 2552 33.339844 1732556900.5175
CHLD 8880 33.164062 1732556900.5175
CHLD 11744 33.148438 1732556900.5175
CHLD 14508 33.171875 1732556900.5175
CHLD 2648 33.328125 1732556900.5175
CHLD 2656 33.246094 1732556900.5175
CHLD 9004 33.375000 1732556900.5175
CHLD 1968 33.484375 1732556900.5175
MEM 34.523438 1732556900.6215
CHLD 14756 33.484375 1732556900.6215
CHLD 1236 33.453125 1732556900.6215
CHLD 14796 33.429688 1732556900.6215
CHLD 7884 33.367188 1732556900.6215
CHLD 14812 33.398438 1732556900.6215
CHLD 10976 33.312500 1732556900.6215
CHLD 6632 33.539062 1732556900.6215
CHLD 2396 33.371094 1732556900.6215
CHLD 14856 33.289062 1732556900.6215
CHLD 14844 33.500000 1732556900.6215
CHLD 5852 33.191406 1732556900.6215
CHLD 12064 33.238281 1732556900.6215
CHLD 2552 33.417969 1732556900.6215
CHLD 8880 33.289062 1732556900.6215
CHLD 11744 33.210938 1732556900.6215
CHLD 14508 33.250000 1732556900.6215
CHLD 2648 33.433594 1732556900.6215
CHLD 2656 33.328125 1732556900.6215
CHLD 9004 33.429688 1732556900.6215
CHLD 1968 33.515625 1732556900.6215
MEM 34.523438 1732556900.7338
CHLD 14756 33.539062 1732556900.7350
CHLD 1236 33.519531 1732556900.7350
CHLD 14796 33.539062 1732556900.7350
CHLD 7884 33.445312 1732556900.7350
CHLD 14812 33.457031 1732556900.7350
CHLD 10976 33.390625 1732556900.7350
CHLD 6632 33.625000 1732556900.7350
CHLD 2396 33.484375 1732556900.7350
CHLD 14856 33.363281 1732556900.7350
CHLD 14844 33.593750 1732556900.7350
CHLD 5852 33.273438 1732556900.7350
CHLD 12064 33.335938 1732556900.7350
CHLD 2552 33.488281 1732556900.7350
CHLD 8880 33.328125 1732556900.7350
CHLD 11744 33.289062 1732556900.7350
CHLD 14508 33.343750 1732556900.7350
CHLD 2648 33.496094 1732556900.7350
CHLD 2656 33.382812 1732556900.7350
CHLD 9004 33.511719 1732556900.7350
CHLD 1968 33.601562 1732556900.7350
MEM 34.523438 1732556900.8432
CHLD 14756 33.628906 1732556900.8504
CHLD 1236 33.628906 1732556900.8504
CHLD 14796 33.656250 1732556900.8504
CHLD 7884 33.597656 1732556900.8504
CHLD 14812 33.542969 1732556900.8504
CHLD 10976 33.500000 1732556900.8504
CHLD 6632 33.714844 1732556900.8504
CHLD 2396 33.542969 1732556900.8504
CHLD 14856 33.414062 1732556900.8504
CHLD 14844 33.652344 1732556900.8504
CHLD 5852 33.390625 1732556900.8504
CHLD 12064 33.429688 1732556900.8504
CHLD 2552 33.593750 1732556900.8504
CHLD 8880 33.414062 1732556900.8504
CHLD 11744 33.410156 1732556900.8504
CHLD 14508 33.410156 1732556900.8504
CHLD 2648 33.585938 1732556900.8504
CHLD 2656 33.507812 1732556900.8504
CHLD 9004 33.589844 1732556900.8504
CHLD 1968 33.703125 1732556900.8504
MEM 34.523438 1732556900.9635
CHLD 14756 33.765625 1732556900.9672
CHLD 1236 33.800781 1732556900.9672
CHLD 14796 33.746094 1732556900.9672
CHLD 7884 33.714844 1732556900.9672
CHLD 14812 33.714844 1732556900.9672
CHLD 10976 33.585938 1732556900.9672
CHLD 6632 33.792969 1732556900.9672
CHLD 2396 33.722656 1732556900.9672
CHLD 14856 33.585938 1732556900.9672
CHLD 14844 33.812500 1732556900.9672
CHLD 5852 33.566406 1732556900.9672
CHLD 12064 33.527344 1732556900.9672
CHLD 2552 33.773438 1732556900.9672
CHLD 8880 33.585938 1732556900.9672
CHLD 11744 33.582031 1732556900.9672
CHLD 14508 33.496094 1732556900.9672
CHLD 2648 33.671875 1732556900.9672
CHLD 2656 33.699219 1732556900.9672
CHLD 9004 33.699219 1732556900.9672
CHLD 1968 33.843750 1732556900.9672
MEM 34.523438 1732556901.0716
CHLD 14756 33.832031 1732556901.0838
CHLD 1236 33.859375 1732556901.0838
CHLD 14796 33.875000 1732556901.0838
CHLD 7884 33.785156 1732556901.0838
CHLD 14812 33.796875 1732556901.0838
CHLD 10976 33.722656 1732556901.0838
CHLD 6632 33.851562 1732556901.0838
CHLD 2396 33.792969 1732556901.0838
CHLD 14856 33.675781 1732556901.0838
CHLD 14844 33.906250 1732556901.0838
CHLD 5852 33.632812 1732556901.0838
CHLD 12064 33.621094 1732556901.0838
CHLD 2552 33.812500 1732556901.0838
CHLD 8880 33.675781 1732556901.0838
CHLD 11744 33.671875 1732556901.0838
CHLD 14508 33.582031 1732556901.0838
CHLD 2648 33.792969 1732556901.0838
CHLD 2656 33.761719 1732556901.0838
CHLD 9004 33.843750 1732556901.0838
CHLD 1968 33.921875 1732556901.0838
MEM 34.523438 1732556901.1866
CHLD 14756 36.066406 1732556901.1866
CHLD 1236 36.058594 1732556901.1866
CHLD 14796 36.121094 1732556901.1866
CHLD 7884 36.101562 1732556901.1866
CHLD 14812 35.929688 1732556901.1866
CHLD 10976 35.960938 1732556901.1866
CHLD 6632 36.105469 1732556901.1866
CHLD 2396 35.929688 1732556901.1866
CHLD 14856 34.125000 1732556901.1866
CHLD 14844 36.121094 1732556901.1866
CHLD 5852 35.980469 1732556901.1866
CHLD 12064 35.878906 1732556901.1866
CHLD 2552 36.042969 1732556901.1866
CHLD 8880 34.140625 1732556901.1866
CHLD 11744 35.859375 1732556901.1866
CHLD 14508 33.710938 1732556901.1866
CHLD 2648 33.886719 1732556901.1866
CHLD 2656 35.593750 1732556901.1866
CHLD 9004 35.230469 1732556901.1866
CHLD 1968 35.679688 1732556901.1866
MEM 34.523438 1732556901.2941
CHLD 14756 36.066406 1732556901.3044
CHLD 1236 36.058594 1732556901.3044
CHLD 14796 36.121094 1732556901.3044
CHLD 7884 36.101562 1732556901.3044
CHLD 14812 35.929688 1732556901.3044
CHLD 10976 35.960938 1732556901.3044
CHLD 6632 36.105469 1732556901.3044
CHLD 2396 35.929688 1732556901.3044
CHLD 14856 35.820312 1732556901.3044
CHLD 14844 36.121094 1732556901.3044
CHLD 5852 36.050781 1732556901.3044
CHLD 12064 35.878906 1732556901.3044
CHLD 2552 36.042969 1732556901.3044
CHLD 8880 35.886719 1732556901.3044
CHLD 11744 35.859375 1732556901.3044
CHLD 14508 35.949219 1732556901.3044
CHLD 2648 36.074219 1732556901.3044
CHLD 2656 35.964844 1732556901.3044
CHLD 9004 36.062500 1732556901.3044
CHLD 1968 36.175781 1732556901.3044
MEM 34.523438 1732556901.4096
CHLD 14756 36.066406 1732556901.4147
CHLD 1236 36.058594 1732556901.4147
CHLD 14796 36.121094 1732556901.4147
CHLD 7884 36.101562 1732556901.4147
CHLD 14812 35.929688 1732556901.4147
CHLD 10976 35.960938 1732556901.4147
CHLD 6632 36.105469 1732556901.4147
CHLD 2396 35.929688 1732556901.4147
CHLD 14856 35.820312 1732556901.4147
CHLD 14844 36.121094 1732556901.4147
CHLD 5852 36.050781 1732556901.4147
CHLD 12064 35.878906 1732556901.4147
CHLD 2552 36.042969 1732556901.4147
CHLD 8880 35.886719 1732556901.4147
CHLD 11744 35.859375 1732556901.4147
CHLD 14508 35.949219 1732556901.4147
CHLD 2648 36.074219 1732556901.4147
CHLD 2656 35.964844 1732556901.4147
CHLD 9004 36.062500 1732556901.4147
CHLD 1968 36.175781 1732556901.4147
MEM 34.523438 1732556901.5201
CHLD 14756 36.078125 1732556901.5252
CHLD 1236 36.074219 1732556901.5252
CHLD 14796 36.148438 1732556901.5252
CHLD 7884 36.117188 1732556901.5252
CHLD 14812 35.949219 1732556901.5252
CHLD 10976 36.007812 1732556901.5252
CHLD 6632 36.128906 1732556901.5252
CHLD 2396 35.960938 1732556901.5252
CHLD 14856 35.847656 1732556901.5252
CHLD 14844 36.148438 1732556901.5252
CHLD 5852 36.078125 1732556901.5252
CHLD 12064 35.925781 1732556901.5252
CHLD 2552 36.066406 1732556901.5252
CHLD 8880 35.906250 1732556901.5252
CHLD 11744 35.878906 1732556901.5252
CHLD 14508 35.976562 1732556901.5252
CHLD 2648 36.097656 1732556901.5252
CHLD 2656 36.000000 1732556901.5252
CHLD 9004 36.105469 1732556901.5252
CHLD 1968 36.207031 1732556901.5252
MEM 34.523438 1732556901.6373
CHLD 14756 36.082031 1732556901.6515
CHLD 1236 36.078125 1732556901.6515
CHLD 14796 36.156250 1732556901.6515
CHLD 7884 36.125000 1732556901.6515
CHLD 14812 35.953125 1732556901.6515
CHLD 10976 36.011719 1732556901.6515
CHLD 6632 36.132812 1732556901.6515
CHLD 2396 35.964844 1732556901.6515
CHLD 14856 35.851562 1732556901.6515
CHLD 14844 36.156250 1732556901.6515
CHLD 5852 36.082031 1732556901.6515
CHLD 12064 35.929688 1732556901.6515
CHLD 2552 36.074219 1732556901.6515
CHLD 8880 35.910156 1732556901.6515
CHLD 11744 35.882812 1732556901.6515
CHLD 14508 35.980469 1732556901.6515
CHLD 2648 36.101562 1732556901.6515
CHLD 2656 36.003906 1732556901.6515
CHLD 9004 36.109375 1732556901.6515
CHLD 1968 36.210938 1732556901.6515
MEM 34.523438 1732556901.7568
CHLD 14756 36.082031 1732556901.7623
CHLD 1236 36.082031 1732556901.7623
CHLD 14796 36.156250 1732556901.7623
CHLD 7884 36.125000 1732556901.7623
CHLD 14812 35.953125 1732556901.7623
CHLD 10976 36.011719 1732556901.7623
CHLD 6632 36.132812 1732556901.7623
CHLD 2396 35.964844 1732556901.7623
CHLD 14856 35.851562 1732556901.7623
CHLD 14844 36.156250 1732556901.7623
CHLD 5852 36.082031 1732556901.7623
CHLD 12064 35.929688 1732556901.7623
CHLD 2552 36.074219 1732556901.7623
CHLD 8880 35.910156 1732556901.7623
CHLD 11744 35.882812 1732556901.7623
CHLD 14508 35.980469 1732556901.7623
CHLD 2648 36.101562 1732556901.7623
CHLD 2656 36.003906 1732556901.7623
CHLD 9004 36.109375 1732556901.7623
CHLD 1968 36.210938 1732556901.7623
MEM 34.523438 1732556901.8699
CHLD 14756 36.085938 1732556901.8889
CHLD 1236 36.093750 1732556901.8889
CHLD 14796 36.179688 1732556901.8889
CHLD 7884 36.156250 1732556901.8889
CHLD 14812 35.992188 1732556901.8889
CHLD 10976 36.015625 1732556901.8889
CHLD 6632 36.132812 1732556901.8889
CHLD 2396 35.968750 1732556901.8889
CHLD 14856 35.851562 1732556901.8889
CHLD 14844 36.160156 1732556901.8889
CHLD 5852 36.082031 1732556901.8889
CHLD 12064 35.929688 1732556901.8889
CHLD 2552 36.074219 1732556901.8889
CHLD 8880 35.914062 1732556901.8889
CHLD 11744 35.886719 1732556901.8889
CHLD 14508 35.980469 1732556901.8889
CHLD 2648 36.105469 1732556901.8889
CHLD 2656 36.058594 1732556901.8889
CHLD 9004 36.109375 1732556901.8889
CHLD 1968 36.214844 1732556901.8889
MEM 34.523438 1732556901.9900
CHLD 14756 36.085938 1732556902.0066
CHLD 1236 36.097656 1732556902.0066
CHLD 14796 36.179688 1732556902.0066
CHLD 7884 36.160156 1732556902.0066
